Country,Researcher,Titles 1,Links 1,Titles 2,Links 2,Titles 3,Links 3,Titles 4,Links 4,Titles 5,LInks 5
Palestine,Aryan,"['propalestine', 'protest', 'disrupts', 'council', 'meeting']",https://www.bbc.com/news/articles/cd1951g7zdwo,"['tower', 'bridge', 'reopens', 'after', 'propalestine', 'march']",https://www.bbc.com/news/uk-england-london-68396537,"['propalestine', 'group', 'targets', 'twickenham', 'stadium', 'with', 'red', 'paint']",https://www.bbc.com/news/articles/crg4dg2nq50o,"['who', 'is', 'mohammad', 'mustafa', 'the', 'man', 'who', 'could', 'be', 'next', 'palestinian', 'pm']",https://www.reuters.com/world/middle-east/who-is-mohammad-mustafa-man-who-could-be-next-palestinian-pm-2024-02-29/,"['uk', 'considering', 'recognising', 'palestine', 'state', 'lord', 'cameron', 'says']",https://www.bbc.com/news/uk-68137220
Philippines,Aryan,"['philippines', 'landslide', 'death', 'toll', 'rises', 'to', 'in', 'davao', 'de', 'oro']",https://www.bbc.com/news/world-asia-68274588,"['philippines', 'bone', 'diggers', 'seek', 'justice', 'for', 'dead', 'in', 'dutertes', 'drug', 'war']",https://www.bbc.com/news/world-asia-67825685,"['philippines', 'former', 'first', 'lady', 'imelda', 'marcos', 'in', 'good', 'condition', 'in', 'hospital']",https://www.reuters.com/world/asia-pacific/philippines-former-first-lady-imelda-marcos-good-condition-hospital-2024-03-06/,"['philippines', 'country', 'profile']",https://www.bbc.com/news/world-asia-pacific-67765684,"['several', 'killed', 'in', 'catholic', 'mass', 'at', 'university', 'in', 'philippines']",https://www.bbc.com/news/live/world-asia-67605206
Qatar,Aryan,"['qatar', 'country', 'profile']",https://www.bbc.com/news/world-middle-east-14702226,"['israelgaza', 'war', 'latest', 'ceasefire', 'talks', 'not', 'very', 'promising', 'qatar']",https://www.bbc.com/news/world-middle-east-68326788,"['qatar', 'frees', 'eight', 'exindian', 'navy', 'officers', 'previously', 'on', 'death', 'row']",https://www.bbc.com/news/world-asia-68271170,"['israel', 'not', 'meeting', 'international', 'obligation', 'on', 'aid', 'qatar']",https://www.bbc.com/news/av/world-middle-east-68116274,"['gresinis', 'marquez', 'looking', 'for', 'answers', 'in']",https://www.reuters.com/sports/formula1/gresinis-marquez-looking-answers-2024-2024-03-08/
Russia (partly in Europe),Aryan,"['ukraine', 'war', 'eastern', 'residents', 'brace', 'for', 'russian', 'advance']",https://www.bbc.com/news/world-europe-68493215,"['alexei', 'navalny', 'widow', 'urges', 'russians', 'to', 'protest', 'against', 'putin', 'on', 'election', 'day']",https://www.bbc.com/news/av/world-68491891,"['russiaukraine', 'war', 'moscow', 'ignores', 'arrest', 'warrants', 'for', 'putin', 'commanders']",https://www.bbc.com/news/world-europe-68489266,"['russia', 'to', 'transport', 'dozens', 'of', 'migrants', 'to', 'last', 'open', 'finnish', 'border', 'checkpoint']",https://www.themoscowtimes.com/2023/11/24/russia-to-transport-dozens-of-migrants-to-last-open-finnish-border-checkpoint-a83217,"['trump', 'threatens', 'to', 'encourage', 'attack', 'of', 'nato', 'members', 'behind', 'on', 'payments']",https://economictimes.indiatimes.com/news/international/world-news/trump-threatens-to-encourage-attack-of-nato-members-behind-on-payments/articleshow/107595347.cms
Saudi Arabia,Aryan,"['saudi', 'border', 'guards', 'killed', 'hundreds', 'of', 'ethiopian', 'migrants', 'hrw', 'says']",https://www.reuters.com/world/middle-east/saudi-border-guards-killed-hundreds-ethiopian-migrants-hrw-says-2023-08-21/,"['saudi', 'arabia', 'defends', 'hosting', 'world', 'cup']",https://www.bbc.com/news/av/world-middle-east-67665328,"['saudi', 'arabian', 'grand', 'prix', 'fernando', 'alonso', 'fastest', 'in', 'second', 'practice', 'ahead', 'of', 'george', 'russell']",https://www.bbc.com/sport/formula1/68504638,"['saudi', 'arabia', 'to', 'get', 'first', 'alcohol', 'shop', 'in', 'more', 'than', 'years']",https://www.bbc.com/news/world-middle-east-68085190,"['ksa', 'immigration', 'news', 'premium', 'residency', 'for', 'regional', 'executives', 'headquartered', 'in', 'the', 'kingdom']",https://www2.deloitte.com/xe/en/pages/tax/articles/ksa-immigration-news.html
Singapore,Aryan,"['dbs', 'singapores', 'biggest', 'bank', 'cuts', 'executive', 'pay', 'after', 'outages']",https://www.bbc.com/news/business-68224396,"['singapore', 'minister', 'iswaran', 'charged', 'in', 'rare', 'corruption', 'case']",https://www.bbc.com/news/business-68014625,"['singapore', 'to', 'raise', 'salary', 'criteria', 'for', 'foreign', 'workers', 'in', 'bid', 'for', 'highquality', 'talent']",https://economictimes.indiatimes.com/nri/work/singapore-to-raise-salary-criteria-for-foreign-workers-in-bid-for-high-quality-talent/articleshow/108202357.cms,"['singapore', 'taps', 'foreign', 'talent', 'as', 'labour', 'crunch', 'worsens', 'birth', 'rate', 'falls']",https://economictimes.indiatimes.com/nri/work/facing-a-low-birth-rate-and-manpower-shortage-singapore-to-stay-open-to-foreign-talent/articleshow/108078289.cms,"['singapore', 'flags', '‘structural', 'decline’', 'without', 'migrant', 'workers']",https://economictimes.indiatimes.com/nri/work/singapore-flags-structural-decline-without-migrant-workers/articleshow/102728694.cms
South Korea,Aryan,"['south', 'korea', 'turns', 'to', 'migrant', 'labor', 'to', 'fuel', 'growth']",https://asia.nikkei.com/Spotlight/Asia-Insight/South-Korea-turns-to-migrant-labor-to-fuel-growth,"['india', 'south', 'korea', 'in', 'talks', 'for', 'migration', 'pact', '—', 'heres', 'how', 'it', 'will', 'help', 'indian', 'professionals']",https://www.cnbctv18.com/education/india-south-korea-in-talks-for-migration-pact--heres-how-it-will-help-indian-professionals-17571931.htm,"['south', 'korea', 'doctors', 'on', 'strike', 'face', 'arrest', 'if', 'they', 'do', 'not', 'return', 'to', 'work']",https://www.bbc.com/news/world-asia-68422002,"['why', 'south', 'korean', 'women', 'arent', 'having', 'babies']",https://www.bbc.com/news/world-asia-68402139,"['lee', 'jaemyung', 'south', 'korea', 'opposition', 'leader', 'stabbed', 'in', 'neck', 'on', 'visit', 'to', 'busan']",https://www.bbc.com/news/world-asia-67860330
Sri Lanka,Aryan,"['organiser', 'of', 'white', 'party', 'in', 'sri', 'lanka', 'apologises', 'after', 'backlash']",https://www.bbc.com/news/world-asia-68421131,"['sri', 'lanka', 'whats', 'killing', 'so', 'many', 'of', 'the', 'countrys', 'iconic', 'elephants']",https://www.bbc.com/news/world-asia-68090450,"['sri', 'lankas', 'controversial', 'internet', 'safety', 'law', 'comes', 'into', 'force']",https://www.bbc.com/news/world-asia-68163414,"['sri', 'lanka', 'rajapaksa', 'brothers', 'among', 'leaders', 'responsible', 'for', 'crisis']",https://www.bbc.com/news/world-asia-67423516,"['sri', 'lanka', 'country', 'profile']",https://www.bbc.com/news/world-south-asia-11999611
Syria,Dharani ,"['cyprus', 'calls', 'for', 'eu', 'rethink', 'on', 'syria', 'migration', 'as', 'refugee', 'numbers', 'rise']",https://www.reuters.com/world/europe/cyprus-calls-eu-rethink-syria-migration-refugee-numbers-rise-2023-12-14/,"['at', 'least', 'syrian', 'truffle', 'hunters', 'killed', 'in', 'suspected', 'is', 'attack']",https://www.bbc.com/news/world-middle-east-68490039,"['israeli', 'missile', 'strike', 'on', 'damascus', 'flat', 'kills', 'two', 'syria', 'says']",https://www.bbc.com/news/world-middle-east-68356933,"['russian', 'aircraft', 'strike', 'fighters', 'bases', 'in', 'syria', 'military', 'official', 'says']",https://www.reuters.com/world/middle-east/russian-aircraft-strike-fighters-bases-syria-military-official-says-2024-03-07/,"['syria', 'war', 'why', 'does', 'the', 'battle', 'for', 'idlib', 'matter']",https://www.bbc.com/news/world-middle-east-45403334
Taiwan,Dharani ,"['chinataiwan', 'beijing', 'conducts', 'new', 'military', 'drills', 'near', 'island']",https://www.bbc.com/news/world-asia-china-62462273,"['taiwan', 'election', 'china', 'says', 'us', 'gravely', 'wrong', 'to', 'congratulate', 'new', 'leader']",https://www.bbc.com/news/world-asia-67974541,"['taiwan', 'election', 'dpp', 'supporters', 'celebrate', 'at', 'rally']",https://www.bbc.com/news/av/world-asia-67967549,"['taiwan', 'tech', 'giants', 'foxconn', 'and', 'tsmc', 'to', 'buy', 'm', 'covid', 'jabs']",https://www.bbc.com/news/business-57801031,"['taiwan', 'and', 'the', 'next', 'industrial', 'revolution']",https://www.bbc.com/storyworks/future/transforming-taiwan/taiwan-and-the-next-industrial-revolution
Tajikistan,Dharani ,"['tajikistan', 'elections', 'get', 'social', 'media', 'makeover']",https://www.bbc.com/news/world-asia-24758883,"['tajikistan', 'locals', 'locked', 'in', 'at', 'election', 'event']",https://www.bbc.com/news/blogs-news-from-elsewhere-31601731,"['china', 'belt', 'and', 'road', 'indonesia', 'opens', 'whoosh', 'highspeed', 'railway']",https://www.bbc.com/news/world-asia-66979810,"['afghanistan', 'taliban', 'flag', 'raised', 'above', 'border', 'crossing', 'with', 'pakistan']",https://www.bbc.com/news/world-asia-57818221,"['kyrgyzstantajikistan', 'border', 'clashes', 'claim', 'nearly', 'lives']",https://www.bbc.com/news/world-asia-62950787
Thailand,Dharani ,"['thailand', 'military', 'seizes', 'power', 'in', 'coup']",https://www.bbc.co.uk/news/world-asia-27517591,"['thailand', 'revives', 'law', 'banning', 'criticism', 'of', 'king', 'in', 'bid', 'to', 'curb', 'protests']",https://www.bbc.com/news/world-asia-55062397,"['calls', 'from', 'tourism', 'industry', 'for', 'vat', 'cut', 'in', 'budget']",https://www.bbc.com/news/uk-england-devon-68447759,"['elephants', 'covid', 'and', 'ethics', 'reshape', 'thailands', 'tourism', 'industry']",https://www.bbc.com/news/world-asia-63858123,"['thailand', 'cave', 'rescue', 'tham', 'luang', 'reopens', 'to', 'tourists']",https://www.bbc.com/news/world-asia-50266947
Timor-Leste (East Timor),Dharani ,"['feature', 'drawing', 'down', '–', 'the', 'end', 'of', 'a', 'un', 'peacekeeping', 'mission', 'in', 'timorleste']",https://news.un.org/en/story/2013/01/429462,"['timorleste', 'overview', 'development', 'news', 'research', 'data']",https://www.worldbank.org/en/country/timor-leste/overview,"['members', 'endorse', 'timorlestes', 'wto', 'accession', 'package', 'ready', 'for', 'formal', 'adoption', 'in', 'abu', 'dhabi']",https://www.wto.org/english/news_e/news24_e/acc_11jan24_e.htm,"['india', 'to', 'open', 'embassy', 'in', 'timorleste']",https://m.economictimes.com/nri/latest-updates/indian-to-open-embassy-in-timor-leste/articleshow/103459413.cms,"['east', 'timor', 'country', 'profile']",https://www.bbc.com/news/world-asia-pacific-14919009
Turkey (partly in Europe),Dharani ,"['turkey', 'overview', 'development', 'news', 'research', 'data']",https://www.worldbank.org/en/country/turkey/overview,"['turkeys', 'devastating', 'earthquakes', 'recovery', 'efforts', 'underway']","https://disasterphilanthropy.org/disasters/2023-turkey-syria-earthquake/#:~:text=and%20northwest%20Syria.-,On%20Feb.,operations%20is%20also%20being%20prepared.","['erdogan', 'turkeys', 'allpowerful', 'leader', 'of', 'years']",https://www.bbc.com/news/world-europe-13746679,"['turkey', 'country', 'profile']",https://www.bbc.com/news/world-europe-17988453,"['why', 'is', 'the', 'turkish', 'lira’s', 'value', 'still', 'falling']",https://www.aljazeera.com/news/2023/6/18/why-is-the-turkish-lira-still-falling-in-value
Turkmenistan,Dharani ,"['turkmen', 'president', 'escapes', 'injury', 'in', 'riding', 'accident']",https://www.bbc.co.uk/news/world-asia-22352281,"['elections', 'in', 'turkmenistan']",https://www.osce.org/odihr/elections/turkmenistan,"['turkeybound', 'citizens', 'of', 'turkmenistan', 'must', 'find', '‘guarantors’', 'and', 'pledge', '‘no', 'activism’']",https://www.rferl.org/a/turkemenistan-turkey-visas-activism-anti-regime-protests/32313299.html,"['turkmenistan', 'faces', '‘shocking', 'population', 'decline’', 'as', 'exodus', 'continues']",https://www.rferl.org/a/turkmenistan-population-decline-exodus/31355045.html,"['mainstreaming', 'the', 'migration', 'environment', 'and', 'climate', 'change', 'nexus', 'in', 'turkmenistan']",https://www.iom.int/project/turkmenistan-mainstreaming-migration-environment-and-climate-change-nexus-climate-related-national-planning-processes
United Arab Emirates,Dharani ,"['economic', 'ties', 'that', 'bind', 'uk', 'and', 'uae']",https://www.bbc.com/news/av/business-22213360,"['dubai', 'expo', 'coronavirusdelayed', 'world', 'fair', 'opens']",https://www.bbc.com/news/world-middle-east-58745890,"['uae', 'has', 'funded', 'political', 'assassinations', 'in', 'yemen', 'bbc', 'finds']",https://www.bbc.com/news/world-middle-east-67945137,"['uae', 'mars', 'mission', 'hope', 'project', 'a', 'real', 'step', 'forward', 'for', 'exploration']",https://www.bbc.com/news/world-middle-east-52973849,"['landmark', 'uaeisrael', 'deal', 'will', 'deliver', 'suspension', 'of', 'annexation', 'says', 'gargash']",https://www.bbc.com/news/av/world-middle-east-54169627
Uzbekistan,Dharani ,"['uzbekistan', 'overview', 'development', 'news', 'research', 'data']",https://www.worldbank.org/en/country/uzbekistan/overview,"['uzbek', 'president', 'reelected', 'for', 'sevenyear', 'term', 'in', 'snap', 'election']",https://www.aljazeera.com/news/2023/7/10/uzbek-president-re-elected-for-seven-year-term-in-snap-election,"['uzbekistan', 'a', 'breadbasket', 'of', 'central', 'asia']",https://www.bbc.com/news/world-asia-16218112,"['uzbekistans', 'reforms', 'opening', 'up', 'or', 'a', 'façade']",https://thediplomat.com/2023/05/what-will-it-take-to-finally-build-a-new-uzbekistan/,[],
Vietnam,Dharani ,"['vietnam', 'from', 'centrally', 'planned', 'to', 'market', 'economy']",https://www.worldbank.org/en/country/vietnam,"['vietnams', 'free', 'trade', 'agreements', 'a', 'catalyst', 'for', 'growth']",https://www.ft.com/?edition=uk,"['the', 'usvietnam', 'relationship', 'a', 'long', 'road', 'to', 'reconciliation', 'the', 'new', 'york', 'times']",https://www.nytimes.com/international/,"['vietnams', 'battle', 'against', 'covid', 'cnn']",https://www.cnn.com/,"['vietnam', 'on', 'the', 'front', 'lines', 'of', 'climate', 'change', 'the', 'guardian']",https://www.theguardian.com/
Yemen,Dharani ,"['yemen', 'development', 'news', 'research', 'data', 'world', 'bank']",https://www.worldbank.org/en/country/yemen,"['yemen', 'economic', 'monitor', 'highlights', 'ongoing', 'challenges', 'amid', 'renewed', 'hope', 'world', 'bank']",https://www.worldbank.org/en/news/press-release/2023/10/26/yemen-economic-monitor-highlights-ongoing-challenges-amid-renewed-hope,"['yemens', 'economic', 'update', '—', 'april', 'world', 'bank']",https://www.worldbank.org/en/country/yemen/publication/economic-update-april-2022,"['yemens', 'war', 'and', 'the', 'worlds', 'worst', 'humanitarian', 'crisis']",https://www.unicef.org/emergencies/yemen-crisis,"['yemen', 'in', 'crisis']",https://www.cfr.org/middle-east-and-north-africa/yemen
