Location code,0-4,05-Sep,Oct-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4.1,5-9.1,10-14.1, 15-19.1,20-24.1,25-29.1,30-34.1,35-39.1,40-44.1,45-49.1,50-54.1,55-59.1,60-64.1,65-69.1,70-74.1,75+.1,Total.1,0-4.2,5-9.2,10-14.2, 15-19.2,20-24.2,25-29.2,30-34.2,35-39.2,40-44.2,45-49.2,50-54.2,55-59.2,60-64.2,65-69.2,70-74.2,75+.2,Total.2
430,0.235383724,0.533374218,0.701354561,1.437099711,2.6732344,2.970504075,3.319423879,3.557324291,2.950225138,3.258195794,2.935948126,2.250443329,1.840471884,1.322409286,1.362010354,1.046948175,1.738881309,0.165365352,0.369912261,0.472735753,1.199507784,2.885894272,3.618544051,4.19385402,4.599326599,3.957252256,4.402775817,4.017903076,2.979060704,2.407021393,1.801606251,1.642216993,1.187828099,1.993833723,0.308378064,0.703591688,0.938589434,1.6823772,2.45632402,2.315618048,2.438013551,2.504710788,1.935974612,2.119439232,1.888624678,1.573692041,1.341399772,0.925235807,1.138451706,0.938484724,1.481151332
434,7.075823961,6.061627733,7.179971431,9.498127208,13.64341428,16.11286343,14.97539471,14.55533112,13.97697281,14.51150315,14.57514916,16.43241304,17.87936841,16.821071,9.663997193,7.402060739,12.02885282,7.722955771,6.376407058,7.77394551,10.7589968,16.74493833,21.74939287,22.26983216,23.12894919,22.97295414,24.3385305,24.62051736,27.98266266,28.54712226,23.75439651,14.24529598,10.25478782,17.11853623,6.392387128,5.729406208,6.555025498,8.173941594,10.43343142,10.38788329,7.679162223,5.923571079,4.670212843,4.206014389,4.113078084,5.329324078,8.153029684,10.67015805,5.819849721,5.269464854,6.840163995
438,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.85274143,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
440,7.250651194,3.01818626,1.15180643,1.14521001,1.774103034,2.312902152,3.572060978,4.626922924,4.52664429,4.525240076,6.28982873,7.161100363,10.84879115,8.431792478,7.881464544,6.802583419,5.333155052,7.408150705,3.05454001,1.201118226,1.045268534,2.032051188,3.138578886,5.151136493,6.61260616,6.215133476,5.969800582,7.11234321,7.459125219,11.26710218,8.87285462,8.538638895,7.043048031,5.805456723,7.083380698,2.979552868,1.100517294,1.251797344,1.503251933,1.404899961,1.864179605,2.500753239,2.857424863,3.172361669,5.542245813,6.910318211,10.52696462,8.139546514,7.518323408,6.70104116,4.926198656
442,11.54621192,23.43142358,29.26527112,29.75305055,36.62608259,55.9783798,62.9472099,65.55776973,68.70797981,64.13362473,58.34422929,52.36800787,46.43339754,45.08448541,41.24105656,31.77353275,47.61556354,11.1332008,23.54628578,30.0776845,29.4939214,35.92633983,55.28231609,62.25144063,65.22990836,66.81731487,62.72579944,59.17598587,54.59673384,48.1195757,45.8488228,43.51258475,32.45148849,47.90247231,11.98365021,23.31072595,28.42966686,30.02688975,37.37405215,56.72345053,63.64712606,65.88758362,70.74029505,65.69946364,57.41034452,50,44.70032649,44.3147618,39.10614525,31.30329376,47.32197977
446,16.06044583,19.62656611,28.94391604,52.4997772,64.91325468,67.5856004,58.27171084,55.00916605,79.29614632,79.21082437,79.80736447,69.81038966,73.18706337,74.45819075,84.75724866,70.18831651,62.13828768,16.43708826,18.68385266,25.85098786,44.89884143,58.06381593,66.33202554,61.33965245,54.82339663,71.72187875,75.75267824,80.20348689,73.65586909,71.07205152,77.42407397,77.68486329,64.58223857,60.01954502,15.66662871,20.6248826,32.25040292,60.5829349,72.08615105,68.82435668,55.57192904,55.18370657,86.66307665,81.90585864,79.52427929,66.60401657,75.29406523,71.49456204,92.27236422,74.17738558,64.09907426
450,0.039859572,0.048008627,0.053741004,0.070016712,0.100831769,0.123977054,0.136249015,0.16208465,0.198315007,0.235335313,0.260697266,0.312344965,0.409239053,0.553204831,0.825909346,0.875555036,0.128427921,0.03314806,0.04102045,0.04785714,0.065006192,0.099711429,0.133260383,0.151778303,0.179098899,0.213573259,0.260105475,0.31111757,0.411315906,0.585702665,0.845107692,1.346725608,1.49870375,0.146670712,0.04672865,0.055141091,0.059699003,0.075047354,0.101947062,0.114758478,0.120777163,0.145073095,0.183105654,0.211143285,0.212450706,0.220213128,0.248854907,0.294324715,0.391103418,0.385457794,0.110266352
454,0.341319923,0.429675861,0.445733968,0.691201359,0.966924219,1.125616633,1.378025408,1.648258746,1.797996249,2.1269807,2.466160415,2.69959132,2.634517437,2.954211207,2.499247215,4.751932453,1.000326451,0.336083704,0.427830787,0.453666131,0.707616319,0.9174593,1.121777928,1.432926829,1.780906335,1.8448869,2.175955121,2.477148766,2.795711769,2.606876272,3.044664984,2.574982186,5.809287216,0.992279339,0.346665008,0.431554473,0.437730795,0.674789008,1.015809165,1.129330239,1.325850462,1.522489314,1.753525889,2.081169928,2.456369194,2.618060973,2.656759884,2.885375838,2.447867455,4.185064902,1.008156216
458,4.154132407,3.676759654,2.1910642,10.66716909,23.73997444,26.53930041,17.38640095,13.54143855,11.33197627,7.426029179,5.306319891,3.612487955,2.810142366,2.233954469,1.81385663,2.71429711,10.74139596,4.207655107,3.762599944,2.255111416,12.00652626,28.04329594,33.89068334,22.34342764,16.20281225,13.0477175,8.854979855,6.437205539,4.133442292,3.290821491,2.5321196,2.243340332,3.253088251,12.9654816,4.097350995,3.58563674,2.123226435,9.24138731,19.17500484,18.77360192,12.09390498,10.57112156,9.412270236,5.914018204,4.166531767,3.052474989,2.320637528,1.941488396,1.41967193,2.210730886,8.390717999
462,2.473369122,2.865044842,3.097358491,6.361874359,6.297377235,14.05038869,22.62882929,23.18641962,21.70909487,17.57469244,12.98552172,7.850320555,6.263461704,6.527375324,5.569504679,2.805941995,12.96458,2.690948627,3.354558161,3.828230992,11.19574059,8.302639231,16.36239027,27.53100711,31.5787993,30.46875,25.60237389,21.09499298,13.20628104,10.16531833,10.32082324,9.250328803,5.050505051,17.91542248,2.240456238,2.337517434,2.331189711,1.250977326,1.452087794,6.143719144,9.401633127,7.632950991,6.332434053,5.312301695,3.713215623,2.756860243,2.516466813,2.67445435,1.571428571,0.436257877,4.373171941
466,0.591898964,0.649422072,0.888747294,1.539630556,2.791934337,4.61093466,5.525866551,5.569184537,5.041053623,5.00840831,5.084205298,4.939455068,4.531561319,3.855663486,4.05641741,3.810283382,2.39905675,0.590990504,0.661145691,0.894341353,1.536748915,2.684945755,4.51602354,5.542111685,5.756840211,5.418076413,5.539422957,5.764194012,5.498420583,4.819248378,3.980442677,4.339502234,4.126603879,2.42783416,0.592838979,0.63729347,0.882965763,1.54259346,2.900879605,4.706277095,5.509634797,5.383737461,4.673178492,4.501945248,4.464397349,4.461533704,4.296920583,3.755370931,3.840489266,3.563850185,2.370166817
470,5.425855864,13.11834982,13.02725264,13.58817236,39.26546906,63.6429945,54.636013,43.91537655,35.06885372,31.02534196,29.38568461,17.4971607,12.02748,9.829757886,9.342152306,8.098454849,25.99090907,5.832735104,13.51861846,13.17012999,14.32105814,46.87935574,70.69994919,61.92590861,50.10982487,39.59982547,35.34310689,32.50628141,19.1037403,13.08536259,10.72816602,10.54548157,10.09139852,29.83244513,4.995251662,12.68671193,12.87400773,12.82204317,31.16348055,55.93702317,46.74634794,37.21840703,30.25810721,26.46759663,26.15447154,15.87176924,10.98597115,8.949108683,8.226539893,6.693729868,22.12666785
474,12.406691,18.85795455,21.09741655,23.93208075,20.58208649,31.93732697,38.29749527,37.25981134,33.76540246,23.04245283,15.94759653,12.07829556,10.6813606,8.921179003,7.067661488,4.124777846,18.28681065,11.72317895,17.40855002,18.93617021,21.01807571,17.19555412,25.23961661,35.18240197,35.12356758,32.57150153,22.56496541,15.22159429,11.56870861,10.02770913,9.175593852,6.698455949,4.244810786,16.91646341,13.11639271,20.40122008,23.39578242,26.93141999,24.09216128,39.08437842,40.67020502,38.81784312,34.62207971,23.38895672,16.52163688,12.4922939,11.26487498,8.717681246,7.369888476,4.045606621,19.45395691
478,3.456573229,3.440223706,3.366431333,3.50603304,3.669552805,5.079147334,5.197711045,4.788460056,4.555974682,4.469276714,3.926953454,3.513430702,3.523823427,3.139208668,3.310463945,4.187946885,3.920415686,3.57552554,3.607593727,3.578849981,3.85688805,4.18852389,5.934264323,6.110162532,5.562367089,5.406367311,5.445274669,4.921633087,4.320102025,4.200558166,3.645943098,4.135682416,5.58269365,4.419864658,3.333146272,3.26750319,3.148111812,3.145511156,3.136553834,4.201259233,4.261945444,3.996740247,3.695350154,3.502773426,2.971879134,2.767264684,2.92182991,2.709227468,2.714427367,3.294984921,3.416586058
480,0.552710467,0.694383916,0.717335187,1.147079968,2.081584512,2.593039787,2.956840308,2.532624122,4.664224173,6.304237473,4.469424672,1.723660145,1.004857922,0.680932305,0.581056221,0.606212715,2.271878418,0.591117917,0.755502338,0.718495786,0.99418846,1.61059413,2.003448877,2.752190012,2.668713062,5.488974113,7.93181381,5.64797361,2.249525702,1.347656789,0.994245633,0.854787315,1.008207518,2.550360171,0.512771514,0.630886796,0.716129359,1.305809343,2.561517173,3.188678137,3.162162774,2.394513542,3.826489206,4.659019103,3.297887291,1.216831015,0.685952112,0.406139879,0.362859332,0.358713622,2.000661196
484,1.455915287,2.158848959,1.955789808,0.958295274,0.718622493,0.591796383,0.603684621,0.604038437,0.542805853,0.446555887,0.448582994,0.453073124,0.44116507,0.514309697,0.510478139,0.610288495,0.928874915,1.437647608,2.126347723,1.921050755,0.912271842,0.671279187,0.555205762,0.605465575,0.644483422,0.618923612,0.518826288,0.523416863,0.522517667,0.500997801,0.607107643,0.599294311,0.655604913,0.953694035,1.475038761,2.192850448,1.992089644,1.00582456,0.766579976,0.628200968,0.602007193,0.567023874,0.474676305,0.381972703,0.382935384,0.391449713,0.389251507,0.43496946,0.435886496,0.575903275,0.905107094
492,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.78361023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
496,0.191232089,0.224852561,0.455930826,0.573187802,0.619258728,0.723711591,0.813512649,0.745053574,0.816685513,1.106926282,1.196861431,0.976697896,1.001956787,0.892137014,0.724230856,0.504511713,0.651101244,0.187150735,0.228165939,0.452860393,0.588539352,0.714372727,1.022322541,1.176409585,1.055080493,1.257833035,1.686870237,1.877681732,1.497704523,1.623628375,1.378474589,0.959473967,0.488560534,0.883136568,0.19542321,0.221457931,0.459067662,0.557560764,0.523011631,0.422025277,0.452564532,0.429724596,0.387064774,0.553500132,0.581329594,0.539994953,0.521344233,0.518240312,0.555019305,0.514002127,0.425792107
498,3.146355915,1.828128809,0.659842302,1.919808711,2.785358206,2.405107441,1.617028199,1.591516408,1.412769286,1.395468175,2.216544971,2.780656846,4.08251816,5.36704263,8.251197647,5.327141101,2.588967722,3.119649076,1.802928775,0.652673538,1.85918024,2.680152734,2.29428069,1.473353789,1.39668205,1.22403933,1.161437427,1.861607752,2.39489582,3.560878529,4.631702377,6.633148742,4.769036273,2.212424422,3.174522655,1.85499515,0.66741245,1.984662577,2.895075745,2.519913554,1.765134584,1.792513686,1.59819152,1.614721633,2.529724869,3.099984054,4.482659474,5.872948355,9.288171474,5.572464264,2.935047883
499,1.9292256,2.824202824,3.363883318,4.636252171,10.34457691,15.20918748,14.17964803,11.13853277,13.49535849,13.86182031,14.93065569,13.61642601,15.03244956,15.55483854,19.78071248,12.43401131,11.3044572,1.934640523,2.865894813,3.372256408,4.466114091,9.122659961,12.14873814,10.59120073,8.30449827,10.38954914,11.26526919,12.07721761,10.77263117,11.34346946,11.74727967,15.99434496,11.71471067,9.014274076,1.923401383,2.779027903,3.354666667,4.823478914,11.67020309,18.53255588,17.95477557,14.02920545,16.53437933,16.30347436,17.70515539,16.38661362,18.50314895,18.95814238,22.6659006,12.87179929,13.54460959
500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.5855171,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
504,0.193922596,0.161134236,0.15599806,0.173424439,0.247813066,0.359695493,0.388393741,0.356003013,0.366960351,0.373477683,0.344441471,0.298809544,0.271879574,0.279161932,0.344814948,0.325024823,0.277313608,0.197734319,0.163390605,0.159342654,0.180373826,0.260503732,0.387401786,0.422576915,0.388858526,0.400718505,0.409163624,0.368886463,0.302282063,0.259781763,0.251940788,0.293897224,0.322702065,0.287750861,0.189904541,0.158759056,0.152468077,0.166152107,0.234609809,0.331348024,0.354818405,0.325496169,0.336904991,0.342317642,0.322240014,0.295386147,0.283745491,0.306086471,0.3954951,0.326679934,0.267031723
508,0.471412714,0.440677951,0.538375171,0.690552583,1.069335295,1.569520281,1.952815747,2.475985029,2.27056344,2.258908336,2.221129028,1.979930273,1.831252763,1.529709846,1.228357867,0.760173581,1.084131448,0.44992956,0.427067635,0.507379482,0.61667587,0.95161473,1.459610941,1.964404417,2.629456695,2.532556574,2.624916662,2.760873062,2.482690406,2.36278809,1.967898859,1.646462819,1.135476464,1.08959336,0.493105795,0.454376292,0.569345672,0.76356923,1.184349321,1.675828623,1.941713655,2.335117882,2.040804428,1.967490056,1.828717956,1.607332662,1.445510888,1.230249338,0.972753082,0.574992636,1.078968333
512,13.93910939,19.3459081,23.88939386,57.4603944,65.06137235,37.6711532,54.96933802,61.92334127,58.02421027,57.99685922,62.91045967,58.26355848,59.51285944,57.64712516,60.97724941,35.02983128,46.46586334,16.93357825,23.74506192,28.57823047,83.08746611,85.97041148,43.70301109,63.53830122,75.70519317,71.5382205,71.13447494,81.20393517,74.76811284,83.48911302,88.98753443,89.35898527,38.71685353,58.86912763,10.80747134,14.84483458,18.69706536,37.59793499,32.51443178,17.89818355,26.18858715,26.55123375,25.02171053,23.28441095,23.59852358,19.94144356,17.95075214,23.87237865,40.79074837,31.61773788,22.39189077
